Year,Deaths,2012,2013,2014,2015,2016,2017
2013,"43,270"," 41,003 "," 41,376 "," 43,085 "," 43,113 "," 42,725 "," 44,074 "
2012,"42,320"," 41,003 "," 41,376 "," 43,085 "," 43,113 "," 42,725 "," 44,074 "
2017,"14,676"," 40,411 "," 40,329 "," 41,797 "," 43,672 "," 44,740 "," 46,421 "
2016,"14,182"," 40,411 "," 40,329 "," 41,797 "," 43,672 "," 44,740 "," 46,421 "
2015,"14,479"," 40,411 "," 40,329 "," 41,797 "," 43,672 "," 44,740 "," 46,421 "
2014,"13,510"," 40,411 "," 40,329 "," 41,797 "," 43,672 "," 44,740 "," 46,421 "
2013,"13,547"," 40,411 "," 40,329 "," 41,797 "," 43,672 "," 44,740 "," 46,421 "
2012,"12,870"," 40,411 "," 40,329 "," 41,797 "," 43,672 "," 44,740 "," 46,421 "
2017,"49,926"," 52,787 "," 52,249 "," 53,659 "," 55,825 "," 57,632 "," 59,183 "
2016,"48,824"," 52,787 "," 52,249 "," 53,659 "," 55,825 "," 57,632 "," 59,183 "
2015,"47,247"," 52,787 "," 52,249 "," 53,659 "," 55,825 "," 57,632 "," 59,183 "
2014,"45,867"," 52,787 "," 52,249 "," 53,659 "," 55,825 "," 57,632 "," 59,183 "
2013,"45,689"," 52,787 "," 52,249 "," 53,659 "," 55,825 "," 57,632 "," 59,183 "
2012,"44,477"," 52,787 "," 52,249 "," 53,659 "," 55,825 "," 57,632 "," 59,183 "
2017,"58,803"," 56,669 "," 56,628 "," 58,924 "," 62,376 "," 64,295 "," 66,625 "
2016,"56,961"," 56,669 "," 56,628 "," 58,924 "," 62,376 "," 64,295 "," 66,625 "
2015,"57,806"," 56,669 "," 56,628 "," 58,924 "," 62,376 "," 64,295 "," 66,625 "
2014,"55,200"," 56,669 "," 56,628 "," 58,924 "," 62,376 "," 64,295 "," 66,625 "
2013,"54,567"," 56,669 "," 56,628 "," 58,924 "," 62,376 "," 64,295 "," 66,625 "
2012,"53,177"," 56,669 "," 56,628 "," 58,924 "," 62,376 "," 64,295 "," 66,625 "
2017,"97,602"," 39,266 "," 39,566 "," 41,207 "," 43,425 "," 44,527 "," 45,648 "
2016,"96,231"," 39,266 "," 39,566 "," 41,207 "," 43,425 "," 44,527 "," 45,648 "
2015,"95,140"," 39,266 "," 39,566 "," 41,207 "," 43,425 "," 44,527 "," 45,648 "
2014,"93,914"," 39,266 "," 39,566 "," 41,207 "," 43,425 "," 44,527 "," 45,648 "
2013,"92,408"," 39,266 "," 39,566 "," 41,207 "," 43,425 "," 44,527 "," 45,648 "
2012,"89,901"," 39,266 "," 39,566 "," 41,207 "," 43,425 "," 44,527 "," 45,648 "
2017,"44,371"," 47,726 "," 47,838 "," 49,967 "," 51,985 "," 52,596 "," 54,317 "
