Table S-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Postsecondary Degree Holders among Individuals 25–44 Years Old, by state: 2005–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postsecondary degree holders 25–44 years old,,,,,,,,,,,,,,,,Individuals 25–44 years old,,,,,,,,,,,,,,,,Postsecondary degree holders/individuals 25–44 years old (Percent),,,,,,,,,,,,,,
State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Michigan,"1,013,030","1,001,040","992,470","973,875","946,695","928,480","940,460","954,895","979,675","1,002,040","1,006,230","1,016,025","1,056,395","1,086,665","1,088,225",,"2,708,190","2,658,755","2,601,061","2,537,217","2,476,233","2,433,561","2,409,274","2,393,977","2,389,287","2,390,322","2,394,081","2,409,397","2,432,008","2,455,853","2,477,786",,37.4,37.7,38.2,38.4,38.2,38.2,39.0,39.9,41.0,41.9,42.0,42.2,43.4,44.2,43.9
Minnesota,"684,725","674,895","680,415","694,565","688,730","700,450","710,690","730,915","732,855","754,460","767,715","771,605","799,465","829,050","845,740",,"1,423,781","1,412,852","1,411,388","1,405,692","1,399,672","1,396,159","1,399,164","1,402,927","1,409,925","1,415,326","1,419,161","1,427,341","1,447,757","1,469,532","1,488,193",,48.1,47.8,48.2,49.4,49.2,50.2,50.8,52.1,52.0,53.3,54.1,54.1,55.2,56.4,56.8
Mississippi,"231,760","230,625","227,815","235,630","226,355","240,920","241,695","247,660","246,140","266,460","261,960","261,665","265,095","289,110","271,325",,"774,027","767,066","768,082","767,502","764,156","762,784","761,330","760,060","759,121","759,720","758,367","758,663","759,739","760,028","759,501",,29.9,30.1,29.7,30.7,29.6,31.6,31.7,32.6,32.4,35.1,34.5,34.5,34.9,38.0,35.7
Missouri,"543,130","560,545","567,000","568,535","582,135","590,440","602,935","608,270","628,670","639,910","649,915","662,855","670,335","690,340","708,095",,"1,551,228","1,547,126","1,542,309","1,532,837","1,527,653","1,525,122","1,524,815","1,523,685","1,527,008","1,531,007","1,534,969","1,540,260","1,554,360","1,566,585","1,579,626",,35.0,36.2,36.8,37.1,38.1,38.7,39.5,39.9,41.2,41.8,42.3,43.0,43.1,44.1,44.8
Montana,"85,590","90,990","86,170","92,425","94,470","95,825","99,690","99,740","101,560","98,170","109,935","110,650","115,795","120,995","129,220",,"228,195","228,548","231,371","233,215","234,399","236,034","237,427","239,094","242,514","245,312","248,723","252,613","258,978","263,814","268,181",,37.5,39.8,37.2,39.6,40.3,40.6,42.0,41.7,41.9,40.0,44.2,43.8,44.7,45.9,48.2
Nebraska,"202,180","198,390","203,440","198,335","202,445","209,090","207,890","219,520","221,195","229,320","229,720","241,970","245,140","257,035","265,835",,"460,291","458,133","458,373","459,084","462,372","466,948","469,569","472,494","475,873","478,381","480,098","484,109","489,353","494,304","498,477",,43.9,43.3,44.4,43.2,43.8,44.8,44.3,46.5,46.5,47.9,47.8,50.0,50.1,52.0,53.3
Nevada,"193,900","208,990","214,805","217,000","226,510","218,725","216,970","231,330","235,130","247,140","252,290","251,905","279,900","279,625","294,685",,"724,049","747,896","765,237","774,847","774,536","769,133","765,448","769,733","774,643","783,657","796,693","810,183","826,662","845,578","863,621",,26.8,27.9,28.1,28.0,29.2,28.4,28.3,30.1,30.4,31.5,31.7,31.1,33.9,33.1,34.1
New Hampshire,"161,160","161,620","159,905","163,290","153,960","151,555","151,035","152,715","148,765","154,070","156,160","160,850","161,570","161,630","173,080",,"355,033","348,846","342,511","335,808","328,416","322,559","318,995","316,194","314,134","314,113","313,666","315,021","319,045","323,747","329,316",,45.4,46.3,46.7,48.6,46.9,47.0,47.3,48.3,47.4,49.0,49.8,51.1,50.6,49.9,52.6
New Jersey,"1,114,215","1,115,870","1,090,780","1,105,925","1,101,800","1,117,025","1,105,760","1,134,330","1,146,425","1,157,900","1,163,330","1,188,725","1,238,355","1,248,960","1,255,585",,"2,485,042","2,446,589","2,413,538","2,389,516","2,364,261","2,344,286","2,328,999","2,313,217","2,299,058","2,284,721","2,271,736","2,264,293","2,272,217","2,281,791","2,289,971",,44.8,45.6,45.2,46.3,46.6,47.6,47.5,49.0,49.9,50.7,51.2,52.5,54.5,54.7,54.8
New Mexico,"153,405","160,605","157,905","160,980","164,085","159,590","166,660","177,085","179,025","167,810","172,095","184,375","179,300","184,195","197,740",,"505,077","507,378","509,824","508,578","511,617","517,353","521,267","522,937","525,089","524,381","525,210","527,777","530,795","534,244","538,933",,30.4,31.7,31.0,31.7,32.1,30.8,32.0,33.9,34.1,32.0,32.8,34.9,33.8,34.5,36.7
New York,"2,499,315","2,450,305","2,465,175","2,489,300","2,566,265","2,503,460","2,534,195","2,580,440","2,669,890","2,714,135","2,731,815","2,767,015","2,820,940","2,856,700","2,888,260",,"5,492,496","5,417,603","5,357,444","5,324,739","5,290,037","5,269,491","5,280,203","5,293,962","5,307,314","5,310,927","5,308,145","5,302,413","5,296,806","5,299,630","5,297,612",,45.5,45.2,46.0,46.7,48.5,47.5,48.0,48.7,50.3,51.1,51.5,52.2,53.3,53.9,54.5
North Carolina,"933,035","921,080","949,770","955,355","1,004,795","996,875","1,024,595","1,025,230","1,066,775","1,092,175","1,107,570","1,163,005","1,199,665","1,233,815","1,245,260",,"2,494,079","2,518,651","2,544,472","2,570,907","2,573,672","2,577,428","2,576,613","2,579,425","2,588,912","2,599,047","2,609,449","2,629,058","2,656,509","2,685,733","2,719,496",,37.4,36.6,37.3,37.2,39.0,38.7,39.8,39.7,41.2,42.0,42.4,44.2,45.2,45.9,45.8
North Dakota,"73,975","74,020","75,165","78,240","77,225","82,980","82,795","89,645","93,740","93,730","100,985","103,990","108,865","112,315","108,895",,"157,141","156,114","158,461","159,328","162,677","166,651","170,338","176,254","184,593","191,160","199,208","200,854","202,520","204,630","207,147",,47.1,47.4,47.4,49.1,47.5,49.8,48.6,50.9,50.8,49.0,50.7,51.8,53.8,54.9,52.6
Ohio,"1,098,910","1,085,140","1,115,945","1,119,535","1,115,605","1,115,560","1,110,325","1,142,375","1,170,805","1,203,875","1,216,655","1,229,770","1,259,400","1,279,690","1,297,490",,"3,078,364","3,037,836","3,000,205","2,959,430","2,916,945","2,885,691","2,870,474","2,858,425","2,865,662","2,874,971","2,881,104","2,888,256","2,907,421","2,930,703","2,952,186",,35.7,35.7,37.2,37.8,38.2,38.7,38.7,40.0,40.9,41.9,42.2,42.6,43.3,43.7,44.0
Oklahoma,"296,770","290,730","294,615","299,975","298,455","308,205","329,555","336,480","338,230","343,480","348,625","363,820","366,740","373,555","374,595",,"933,315","938,630","945,623","949,236","959,376","969,262","977,707","986,699","998,145","1,007,081","1,018,222","1,025,476","1,029,018","1,033,633","1,041,466",,31.8,31.0,31.2,31.6,31.1,31.8,33.7,34.1,33.9,34.1,34.2,35.5,35.6,36.1,36.0
